Freq.	V(vout)
1.00000000000000e-02	(-6.02234061726829e+00dB,-1.14703965661657e+00°)
1.00023028502082e-02	(-6.02234141891598e+00dB,-1.14730373207186e+00°)
1.00046062307284e-02	(-6.02234222093276e+00dB,-1.14756786829101e+00°)
1.00069101416826e-02	(-6.02234302331884e+00dB,-1.14783206528796e+00°)
1.00092145831930e-02	(-6.02234382607435e+00dB,-1.14809632307670e+00°)
1.00115195553817e-02	(-6.02234462919949e+00dB,-1.14836064167118e+00°)
1.00138250583710e-02	(-6.02234543269442e+00dB,-1.14862502108536e+00°)
1.00161310922831e-02	(-6.02234623655930e+00dB,-1.14888946133323e+00°)
1.00184376572403e-02	(-6.02234704079432e+00dB,-1.14915396242876e+00°)
1.00207447533648e-02	(-6.02234784539964e+00dB,-1.14941852438593e+00°)
1.00230523807790e-02	(-6.02234865037542e+00dB,-1.14968314721871e+00°)
1.00253605396052e-02	(-6.02234945572185e+00dB,-1.14994783094110e+00°)
1.00276692299659e-02	(-6.02235026143909e+00dB,-1.15021257556708e+00°)
1.00299784519833e-02	(-6.02235106752731e+00dB,-1.15047738111065e+00°)
1.00322882057800e-02	(-6.02235187398669e+00dB,-1.15074224758579e+00°)
1.00345984914784e-02	(-6.02235268081739e+00dB,-1.15100717500650e+00°)
1.00369093092010e-02	(-6.02235348801958e+00dB,-1.15127216338679e+00°)
1.00392206590702e-02	(-6.02235429559344e+00dB,-1.15153721274066e+00°)
1.00415325412088e-02	(-6.02235510353914e+00dB,-1.15180232308212e+00°)
1.00438449557391e-02	(-6.02235591185684e+00dB,-1.15206749442518e+00°)
1.00461579027839e-02	(-6.02235672054673e+00dB,-1.15233272678384e+00°)
1.00484713824658e-02	(-6.02235752960896e+00dB,-1.15259802017214e+00°)
1.00507853949073e-02	(-6.02235833904372e+00dB,-1.15286337460408e+00°)
1.00530999402313e-02	(-6.02235914885117e+00dB,-1.15312879009369e+00°)
1.00554150185604e-02	(-6.02235995903148e+00dB,-1.15339426665501e+00°)
1.00577306300174e-02	(-6.02236076958483e+00dB,-1.15365980430205e+00°)
1.00600467747249e-02	(-6.02236158051139e+00dB,-1.15392540304885e+00°)
1.00623634528060e-02	(-6.02236239181133e+00dB,-1.15419106290945e+00°)
1.00646806643832e-02	(-6.02236320348482e+00dB,-1.15445678389788e+00°)
1.00669984095796e-02	(-6.02236401553204e+00dB,-1.15472256602819e+00°)
1.00693166885180e-02	(-6.02236482795315e+00dB,-1.15498840931443e+00°)
1.00716355013213e-02	(-6.02236564074833e+00dB,-1.15525431377064e+00°)
1.00739548481125e-02	(-6.02236645391774e+00dB,-1.15552027941088e+00°)
1.00762747290145e-02	(-6.02236726746158e+00dB,-1.15578630624920e+00°)
1.00785951441503e-02	(-6.02236808137999e+00dB,-1.15605239429965e+00°)
